phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3487059,out-call,61,31.4793319617,34.432783267
050-7235627,in-call,58,31.419162065,34.3745411998
050-1338681,out-call,1469,31.47835589,34.4304002639
050-3489599,out-call,51,31.4357940138,34.3773400011
050-8824538,in-call,2973,31.4278064534,34.3756995618
050-6910451,out-call,2226,31.423826483,34.3768784905
050-2137824,out-call,116,31.4166659995,34.4000245204
050-8632604,in-call,35,31.4134863825,34.3824285197
050-6557915,in-call,114,31.4407680948,34.3983931637
050-4339452,out-call,2069,31.439986973,34.3994377867
050-3904072,out-call,428,31.4391284624,34.3931788287
