phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4027342,in-call,97,31.4306741164,34.398207355
050-2673942,out-call,2986,31.4680124906,34.4126409046
050-3355849,in-call,463,31.4371760593,34.3991365657
050-8390581,in-call,35,31.4312448546,34.3975637303
050-6930167,in-call,2467,31.4410271138,34.4137898743
050-7878530,in-call,3380,31.4212339841,34.3843453445
050-7079667,in-call,78,31.4343582474,34.3959995885
050-4065673,in-call,1019,31.4164750441,34.3744297666
050-3498060,out-call,47,31.4598383389,34.3997361976
050-5919384,out-call,87,31.4519493249,34.3966629665
050-5533556,in-call,29,31.4025296943,34.3490780974
