phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9840163,out-call,2535,31.4502932705,34.4025938174
050-3545180,in-call,65,31.4679986449,34.4332106763
050-5114421,out-call,68,31.409477404,34.3874541723
050-2248347,out-call,55,31.4386891023,34.3976184094
050-3129551,out-call,400,31.3982620241,34.3583174277
050-2883898,out-call,2363,31.4668736367,34.4228134515
050-2563608,out-call,47,31.4590759767,34.4167574503
050-6852288,out-call,127,31.4552095471,34.4198362373
050-3287223,out-call,113,31.4708337206,34.4475910324
050-7946037,in-call,314,31.4401590558,34.3920173204
050-2077411,in-call,489,31.4269254381,34.3898320842
050-4626420,out-call,363,31.4267165508,34.3701420654
