phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5875224,in-call,1839,31.4327996018,34.4040849029
050-4386564,out-call,54,31.4206976204,34.3885755086
050-2243525,in-call,949,31.413007248,34.3776498659
050-2182230,out-call,2853,31.4062933557,34.3640268591
050-6271365,in-call,1070,31.4270864699,34.3723188966
050-1801251,in-call,627,31.4165136192,34.3900295715
050-4362597,out-call,2309,31.3981683247,34.3706654204
050-5705988,in-call,1870,31.3959791114,34.3428171805
050-5127871,out-call,80,31.4528877287,34.4023366275
050-8377127,in-call,69,31.4609846966,34.4167646843
050-6510606,in-call,115,31.4552095471,34.4198362373
050-6957323,in-call,80,31.4712468707,34.4247683964
050-1913243,in-call,2374,31.4336599729,34.4221814773
050-4722812,out-call,26,31.4205577897,34.3988806601
