phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1358313,out-call,3009,31.418438513,34.3726957977
050-2950530,out-call,91,31.4292604206,34.3922127032
050-2478213,out-call,860,31.4482301694,34.4056172966
050-5144440,out-call,19,31.3968175095,34.3559313316
050-5086935,in-call,35,31.4449086035,34.4081312361
050-8338527,in-call,16,31.4723118303,34.4348970092
050-4701126,out-call,66,31.4335159393,34.3946373005
050-2942264,in-call,67,31.4395041734,34.4110160944
050-4004077,out-call,96,31.3930219166,34.3491816365
050-1055420,out-call,3380,31.4400825867,34.4096563983
050-9916427,out-call,2442,31.4351563593,34.3772811001
050-6864616,in-call,64,31.4434763018,34.4134059186
050-8526929,out-call,2262,31.4127234083,34.3527552069
050-3505465,out-call,66,31.4111223993,34.3625801386
