phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2603414,out-call,1449,31.4272074297,34.3717196806
050-9204941,in-call,1447,31.4295461963,34.3946914373
050-8931732,in-call,1360,31.4299878695,34.3994725879
050-3891853,out-call,3069,31.4312842086,34.3869463981
050-7196645,out-call,2444,31.4169949004,34.3639813498
050-2149525,in-call,81,31.4615069605,34.4034530477
050-6840844,out-call,26,31.4244456463,34.383843414
050-4951579,in-call,105,31.4541657941,34.4053060168
050-9713553,out-call,17,31.4324339179,34.3778357123
050-9859352,out-call,589,31.4505911996,34.4108773229
050-7467571,in-call,59,31.465411301,34.4193833158
050-9048764,out-call,483,31.4089880386,34.3774144019
050-6449224,in-call,120,31.4439108924,34.3971159554
050-9829292,in-call,432,31.4219244063,34.3947244098
050-5125177,out-call,1728,31.4623927335,34.4293034218
