phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8380325,out-call,684,31.4463861172,34.3875355235
050-9779373,in-call,2717,31.4859156543,34.4538972506
050-8536678,out-call,46,31.3870722535,34.3351603898
050-9755692,in-call,113,31.4484394516,34.4228459846
050-4803284,out-call,2580,31.4101426172,34.3669617537
050-7898477,in-call,120,31.4539040944,34.4236680702
050-4782878,out-call,100,31.414347935,34.3752397301
050-1548775,in-call,2188,31.4356438948,34.4030970706
050-2784824,in-call,2237,31.4302805071,34.3937452922
050-7206447,in-call,1751,31.4837552476,34.4410612855
050-7198859,out-call,601,31.4384499293,34.4120289351
050-6074365,in-call,2002,31.4288003178,34.3720300812
050-3135030,out-call,931,31.4228710406,34.3734722263
