phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1871357,in-call,3443,31.4639193049,34.4194289884
050-3549059,in-call,1264,33.8837242306,35.5109298814
050-3501677,out-call,1995,31.4574035829,34.421733807
050-7918099,out-call,2781,31.4390117151,34.4111762684
050-9860535,out-call,58,31.4397902442,34.4025520358
050-7640984,out-call,2484,33.8881148245,35.5087650523
050-9702434,in-call,49,31.4025296943,34.3490780974
050-9088738,out-call,146,31.4489309643,34.3951144773
050-5351999,in-call,2601,31.4360962262,34.3929446919
050-8291826,in-call,41,31.3975874408,34.3458821119
050-1103163,out-call,1961,31.4129147332,34.366881325
