phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5234009,out-call,3547,31.4271888207,34.383848149
050-7921894,in-call,1975,31.439986973,34.3994377867
050-3231901,out-call,51,31.4325174225,34.4152253605
050-7508340,in-call,568,31.4561786836,34.4237337849
050-8281018,out-call,74,31.4298532232,34.3898236615
050-5206094,out-call,1830,31.4481546678,34.4287538839
050-1455744,in-call,2509,31.4056427054,34.3785637498
050-3752853,out-call,13,31.4134986431,34.3721989711
050-3053040,out-call,2081,31.3842509301,34.3214649828
050-3492100,out-call,69,31.4419373271,34.396126202
