phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1909873,in-call,3425,31.4375175469,34.3927711744
050-1847383,in-call,59,33.8870791828,35.5114962775
050-1956993,in-call,91,31.4451872998,34.397395527
050-7799005,in-call,72,31.4280386202,34.3925854281
050-5126090,out-call,1966,31.4557105318,34.3987488722
050-3709870,out-call,97,31.4369063307,34.4061279977
050-8307297,in-call,474,31.4528058505,34.4185901556
050-1789672,out-call,2295,31.4481825713,34.4052595804
050-9713530,in-call,2376,33.8803756184,35.514399591
050-8121212,out-call,2415,31.428865927,34.3837848806
050-9324189,out-call,730,31.4497952243,34.4238316032
050-5164138,out-call,35,31.4599081794,34.4129843843
050-7191754,in-call,3489,33.8830077585,35.508051953
