phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8775350,in-call,1206,31.3809778763,34.3324251232
050-3805746,out-call,80,31.4391055033,34.3846774311
050-8096188,in-call,56,31.4395041734,34.4110160944
050-4695529,out-call,50,31.4238947935,34.3746891962
050-8006630,in-call,78,31.439282453,34.4017611597
050-8924791,in-call,20,31.4301407523,34.3962398376
050-2005859,in-call,27,31.4257799722,34.3896835373
050-5980796,out-call,700,31.4384712383,34.4224004056
050-6674007,out-call,2042,31.4628841572,34.429054323
050-5623001,in-call,3178,31.4559167333,34.4317192722
050-4526719,in-call,63,31.452420656,34.4161056852
050-5328985,in-call,599,31.4338935008,34.3718280792
050-5949422,out-call,71,31.4659624836,34.456701407
050-1245273,out-call,115,31.449940797,34.428372364
