phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8057969,out-call,1393,31.4459072351,34.3840288579
050-1918453,out-call,67,31.4306595585,34.3947454446
050-2840588,out-call,2480,31.5169325413,34.481556834
050-4785803,in-call,1755,31.4405778511,34.3902130488
050-7733611,out-call,2373,31.4299022215,34.3788521786
050-5437711,in-call,541,31.4795464285,34.4569788473
050-7095573,out-call,74,31.404037081,34.3741106432
050-4400690,out-call,1995,31.4503903319,34.4021468253
050-4699744,out-call,13,31.4410220365,34.3940584996
050-2056075,in-call,1441,31.4474613376,34.4024677045
050-1502269,out-call,1273,31.4659407276,34.4236115137
050-2739042,out-call,2788,31.4284059375,34.387904059
