phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6865176,out-call,3449,33.8820615689,35.5069641733
050-4785774,in-call,2577,31.4090657012,34.3672879213
050-9344044,out-call,1802,31.4243287446,34.3902574915
050-7540470,in-call,119,31.4823877718,34.4593157597
050-6703386,out-call,14,31.4630557868,34.4312984047
050-8634090,in-call,45,31.4687145286,34.4462583043
050-4447282,out-call,111,31.4379609732,34.3879747171
050-5213091,out-call,80,31.3989974531,34.3665492524
050-6816223,in-call,56,31.449401542,34.3954101277
050-8086669,in-call,2158,33.8843951195,35.5071295319
050-2826393,in-call,72,31.4495922863,34.4015637579
050-3434340,out-call,79,31.4370578735,34.401063856
