phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6141340,in-call,106,33.8874148147,35.5171010817
050-9637288,in-call,54,33.8798447186,35.5106584922
050-5540868,out-call,28,31.4369327467,34.3758597434
050-5931347,in-call,1513,31.3862400507,34.3472718665
050-9821516,in-call,2943,33.8803979379,35.5097662328
050-5096735,out-call,111,33.8875542454,35.5130881466
050-5923065,in-call,109,33.8867501897,35.5134605361
050-4471309,in-call,1447,31.4454973255,34.4208600056
050-1971776,in-call,50,31.4073105858,34.3726202167
050-3916574,out-call,533,31.4443524371,34.407806028
050-4986984,out-call,374,33.8846450391,35.5109947289
050-1595372,out-call,3234,31.4315892381,34.3809209555
