phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9244300,out-call,780,31.4156306886,34.3681529268
050-7906815,out-call,420,31.4449242082,34.4190590206
050-2294890,in-call,3206,31.4681206774,34.4165096216
050-4311044,in-call,27,31.4308645523,34.3950580148
050-6641023,in-call,1661,31.4699395633,34.4170353197
050-6903726,in-call,11,31.4129763038,34.3628783718
050-6806595,in-call,1348,31.4169484824,34.3824589636
050-7616252,in-call,1415,31.4787468367,34.4333516493
050-2687818,in-call,2112,31.3968550916,34.3561862243
050-2928070,out-call,100,31.4339836492,34.3919149072
