phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1411804,out-call,12,31.4079925904,34.38098215
050-5074782,out-call,47,31.4113563106,34.3941910902
050-3309825,in-call,1969,31.3980569679,34.3554871854
050-4674900,in-call,1344,31.4731153988,34.4328005962
050-1262680,in-call,44,31.4788417329,34.440704371
050-1012687,out-call,1283,31.4394398001,34.398429309
050-7509305,out-call,104,31.4165848642,34.3845922912
050-9845785,in-call,47,31.4505664791,34.4143310189
050-4364782,in-call,1596,31.4601166644,34.4039793756
050-8574311,out-call,1577,31.4426062854,34.4151254341
