phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3405761,out-call,108,31.4501582435,34.4139752779
050-5103527,in-call,104,31.4124197657,34.3754065125
050-9525772,out-call,82,31.4165136192,34.3900295715
050-8451733,out-call,52,31.4051623138,34.3606539032
050-3181546,in-call,47,31.460846776,34.4412084063
050-6649053,in-call,476,31.424301297,34.3721965012
050-9737326,out-call,760,31.4593979787,34.4388007608
050-5835852,in-call,112,31.4717384193,34.4160766806
050-6749790,out-call,2925,31.4570143531,34.4156599205
050-3683556,in-call,86,31.4779172287,34.4313832602
