phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3497497,in-call,74,31.4455928326,34.4093419817
050-1686055,in-call,44,31.4164069841,34.381969104
050-6013986,in-call,782,31.4678349237,34.4202476374
050-3005301,in-call,93,31.4314392841,34.4074470787
050-9003801,in-call,97,31.420247274,34.3789929021
050-7616967,in-call,3583,31.4692746254,34.4270048981
050-3731427,in-call,166,31.4682648061,34.4270274484
050-7265378,in-call,1038,31.432596985,34.3994543024
050-8605584,in-call,2867,31.4765661796,34.4352888629
050-2306446,in-call,110,31.4147860099,34.3776687631
050-2388780,in-call,2286,31.4884570722,34.4479550728
050-7416633,in-call,77,31.4394811161,34.3962841499
