phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6682181,out-call,2698,31.4682977975,34.4163206228
050-7706100,in-call,1525,31.4332349768,34.3826490783
050-4041106,in-call,801,31.4651374044,34.4135353891
050-2288013,out-call,2045,31.4599366895,34.4108442378
050-7306503,in-call,1670,31.4343366261,34.3863326665
050-8049238,out-call,31,31.4335695088,34.3965758315
050-9302797,in-call,1433,31.4005062173,34.364346736
050-5494690,in-call,2106,31.4315367294,34.3857989547
050-4279524,out-call,116,31.4442214884,34.390785271
050-6461829,out-call,97,31.4206676215,34.3811472951
050-6577684,out-call,3287,31.3941850271,34.336496819
050-3255856,in-call,2283,31.4489632234,34.4122190455
050-8866853,out-call,2343,31.4135094059,34.3765326905
