phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3075620,out-call,2321,31.4507417574,34.4131776733
050-8823214,out-call,1385,31.4557757682,34.4071682006
050-1650750,in-call,737,31.4453203551,34.4162896368
050-3219259,out-call,114,31.4004758081,34.3822465236
050-4991728,out-call,71,31.4219687733,34.3631181371
050-2094386,out-call,216,31.4443524371,34.407806028
050-7542073,out-call,101,31.4190103561,34.3881545423
050-3037973,out-call,381,31.4136245639,34.3737140905
050-1927675,in-call,73,31.4306594897,34.3805390564
050-2188919,in-call,73,31.4225359876,34.3762119488
050-8674746,out-call,23,31.4369718516,34.4111143999
050-3097488,out-call,1347,31.4412055542,34.3937843677
050-4518076,out-call,3514,31.4242810469,34.3911934028
050-2162958,out-call,2614,31.4146834418,34.3774668428
050-1437306,in-call,2761,31.4488602029,34.4182862849
