phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8569789,out-call,1323,31.4709138278,34.4288319342
050-6327599,out-call,3379,31.4598031883,34.4178227379
050-7558500,out-call,471,31.4794041231,34.4276426404
050-3337635,in-call,30,31.4225036837,34.3837972024
050-2223370,out-call,3004,31.4296265642,34.3893542022
050-6752200,in-call,76,31.4273052776,34.3702719661
050-7877482,in-call,2363,31.4337008006,34.3791209611
050-8404589,out-call,1243,31.4471477295,34.3997115627
050-3905545,out-call,30,31.4798897176,34.4464253934
050-8284415,out-call,37,31.4302968706,34.3804615993
050-4465752,in-call,82,31.4056321014,34.3699219002
050-8026527,in-call,2133,31.4426168089,34.4123930648
050-7370420,out-call,1591,31.4601063932,34.4314709509
050-8060512,in-call,106,31.4485507878,34.3953461685
050-3469440,out-call,114,31.3887041433,34.3654097318
