phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4718062,in-call,925,31.4470112571,34.4156279335
050-5983467,out-call,98,31.4538183161,34.4024447098
050-5376732,in-call,66,31.4140418764,34.367672555
050-2935924,out-call,2692,31.4287707897,34.3980249307
050-4735723,out-call,3271,31.471417303,34.419263203
050-2174328,in-call,109,31.4279586924,34.3935529917
050-1783036,out-call,3110,31.4480864467,34.4089951296
050-5326676,in-call,120,31.4441377093,34.4078148974
050-9831502,in-call,2444,31.4456174081,34.4016253652
050-1744815,out-call,904,31.4279205804,34.3770562865
050-6266192,in-call,94,31.4458317659,34.4055930636
050-3350009,out-call,2676,31.3871095434,34.3440159965
