phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7551078,out-call,706,33.8780179213,35.5089145144
050-9568694,in-call,14,31.4088990159,34.3598995837
050-6031756,in-call,3572,33.883985336,35.5028785735
050-8746970,out-call,2427,31.4124251745,34.3835488825
050-6046868,out-call,230,31.4771153435,34.4365280537
050-6555242,out-call,2488,33.8794873249,35.5074905413
050-9837620,in-call,349,33.8808661931,35.5103707977
050-2035047,out-call,693,33.8842845565,35.5083872907
050-7168752,out-call,1830,31.511398456,34.4769352365
050-6947755,out-call,83,33.8848252825,35.5104977417
050-5542225,out-call,35,33.8806862688,35.5039109455
