phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6562683,out-call,2027,31.4583786685,34.4087969471
050-2640687,in-call,2420,31.4739579782,34.4151485611
050-4796376,out-call,3033,31.4011814279,34.3503207349
050-5829738,in-call,34,31.4794859362,34.4331109398
050-9091929,in-call,56,31.4662970794,34.4300518777
050-4603781,in-call,96,31.3961023428,34.3695886645
050-5038698,out-call,64,31.4201494313,34.3828913497
050-3308521,out-call,1276,31.4221576392,34.3950266347
050-2176357,out-call,47,31.4520556853,34.4172158009
050-9043850,out-call,1513,31.448965967,34.404897539
050-8139575,in-call,85,31.4348890625,34.4079999982
050-3585744,in-call,47,31.4240559092,34.3973835304
050-6265528,out-call,3063,31.4043728647,34.3662205099
