phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5923895,out-call,2292,31.4338935008,34.3718280792
050-3992695,out-call,2684,31.4583587011,34.4165059638
050-1682517,out-call,16,31.4342855563,34.4111915907
050-4553583,out-call,856,33.8828463768,35.5145816343
050-1229089,out-call,1476,31.4576156299,34.417602392
050-1207902,out-call,140,33.8781150477,35.509781589
050-6979544,out-call,79,33.8797966881,35.5132333004
050-7929086,in-call,937,33.8840272427,35.5095665264
050-4525368,out-call,62,31.4570400396,34.4059553934
050-4141374,out-call,49,31.4118965071,34.3687407544
050-7415630,out-call,95,33.8835960978,35.5114892715
050-7883651,in-call,91,31.4552952345,34.4208360146
050-4834070,out-call,113,31.440518809,34.4033485483
050-6889556,in-call,3373,31.4667094928,34.4352957744
