phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2779513,in-call,549,31.4457708277,34.4091247866
050-6058280,in-call,10,31.4271065865,34.4067327114
050-5528571,out-call,25,31.4223657478,34.3544783438
050-2090748,in-call,21,31.4643472698,34.4261565983
050-9037661,out-call,2265,31.431849765,34.3822014122
050-2308132,in-call,40,31.477471387,34.4301232112
050-3842988,out-call,91,31.4487992918,34.4019854851
050-1211796,out-call,2647,31.4254366846,34.3751616497
050-4855513,out-call,83,31.4843975827,34.4381730175
050-4390585,in-call,22,33.8821224111,35.5087205867
