phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7439868,out-call,109,31.4273286407,34.3718845669
050-4167015,in-call,2094,31.4430472265,34.4033450025
050-3524802,out-call,362,31.4073729112,34.35095829
050-3241226,in-call,2292,31.4125078607,34.3715932151
050-9882874,in-call,23,31.403879035,34.3708077264
050-5267735,out-call,87,31.4178057889,34.3729936712
050-5719651,in-call,1613,31.4221227588,34.3878427824
050-3964768,in-call,92,31.420985781,34.4019634078
050-4138369,in-call,19,31.4082853512,34.3749460102
050-7965776,out-call,3504,31.4432433929,34.4112630802
050-5064034,out-call,3102,31.4224802269,34.3678878283
050-4394227,out-call,65,31.4254942901,34.3804772047
