phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5009857,in-call,1660,31.417098526,34.3699012744
050-9231373,in-call,1722,31.4215965409,34.3785463717
050-6636985,out-call,2871,31.4535688911,34.4085575952
050-7005986,in-call,38,31.4209631691,34.3930397457
050-7734961,in-call,3265,31.4315892381,34.3809209555
050-2717653,out-call,72,31.4407382824,34.3956810659
050-8539307,out-call,1941,31.4495703053,34.4138142243
050-6351682,in-call,2006,31.4060268278,34.3732085691
050-4473290,out-call,1089,31.4257341174,34.3766943215
050-2322318,out-call,1773,31.3977843368,34.3493023695
050-5404795,out-call,1624,31.4107294567,34.3650044039
050-6909408,out-call,3595,31.4209865877,34.3644382073
050-2690460,in-call,34,31.4206986855,34.3912090459
050-5851278,out-call,2162,31.4266513772,34.3915000861
