phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7704193,in-call,48,31.4216712823,34.3778155829
050-5970040,in-call,3397,31.4597313566,34.4092644974
050-4966627,in-call,58,31.4454973255,34.4208600056
050-7229693,in-call,115,31.4524018994,34.4149282251
050-5490012,out-call,25,31.4397205136,34.392510379
050-4186737,in-call,376,31.4456944784,34.3987642967
050-1536407,in-call,412,31.4499538158,34.3991343537
050-9477483,out-call,58,31.396580204,34.3511668013
050-5993976,in-call,100,31.4677364828,34.4155207511
050-2335995,out-call,107,31.4880534086,34.4420103735
