phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3863281,in-call,28,31.3957457556,34.3687136805
050-2533773,in-call,2231,31.4933946118,34.4375896653
050-3570258,out-call,37,31.4081023312,34.3636941171
050-6154198,out-call,15,31.4145215491,34.3754614768
050-1393823,in-call,1627,31.4148519665,34.3835109863
050-2944828,out-call,967,31.4664386889,34.426266333
050-1394210,in-call,55,31.4243287446,34.3902574915
050-7864406,in-call,367,31.4343615946,34.402910225
050-2732403,in-call,2936,31.4495199186,34.3980304559
050-4383340,in-call,3490,31.4473020304,34.419749627
