phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9794847,out-call,2111,31.3955844173,34.3475590751
050-9296449,out-call,3544,33.8876966444,35.509061797
050-3007285,in-call,2289,31.4254470268,34.3888285933
050-9561194,in-call,1107,33.8781617653,35.5154457286
050-5180121,out-call,40,31.4677532028,34.4302591714
050-2766569,out-call,240,33.8830388968,35.5159572684
050-1715596,in-call,29,31.4237220224,34.3955177994
050-8590728,in-call,24,31.4494564714,34.4093185575
050-3547473,out-call,50,31.5018180852,34.4768735913
050-2953403,out-call,1939,31.4298497226,34.3915761836
050-7641755,in-call,3227,31.4281876331,34.403431634
050-1712998,in-call,54,31.4526519686,34.4116326309
050-3246864,out-call,3012,31.4033684643,34.3630955399
050-7127582,out-call,2906,33.8803726589,35.5132116824
050-9508035,in-call,15,31.461314613,34.4084754821
