phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9892907,out-call,618,31.4822409709,34.4346540903
050-1232950,in-call,83,31.486502466,34.4487973666
050-3432210,out-call,25,33.8890393828,35.5145344135
050-6128377,out-call,1242,31.4571720812,34.4079323395
050-2229719,out-call,2272,31.4725692375,34.416574588
050-4889244,in-call,112,31.4135902091,34.3922565955
050-5370381,out-call,15,33.88192194,35.5086557798
050-1392769,in-call,50,33.8882392982,35.513053208
050-8810745,out-call,232,31.4805570361,34.4649692253
050-3814283,in-call,76,33.8808664241,35.5113621698
050-8363838,out-call,17,31.4287660172,34.4053381567
050-2979207,out-call,106,33.8831264936,35.5124908832
