phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5047158,out-call,738,31.4338064515,34.3950307471
050-7626398,out-call,74,31.4358287094,34.3942074335
050-8552228,in-call,1122,31.438588962,34.3974657393
050-1719632,in-call,90,31.4630230497,34.4306332065
050-3617448,in-call,26,31.4682648061,34.4270274484
050-6922201,in-call,91,31.4272175778,34.3841123691
050-8936663,in-call,94,31.4158465005,34.3645049707
050-8796062,out-call,3121,31.4115242072,34.3742157105
050-4417375,out-call,1886,31.4682063725,34.4206283924
050-5284604,in-call,175,31.4648070632,34.4075992337
050-6221003,out-call,1823,31.4139661325,34.3651126825
050-6427040,in-call,769,31.4358972803,34.3977099806
050-9810794,out-call,1784,31.431693773,34.3919402194
