phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4474915,out-call,2563,33.8819234046,35.5139903011
050-9185169,in-call,1405,33.8836913696,35.5087592871
050-1217567,in-call,2790,33.8838425937,35.5071967562
050-5713214,in-call,2297,31.4324690732,34.3903561646
050-7863949,out-call,909,31.438698911,34.3918438971
050-1177600,out-call,850,31.420241064,34.3897519344
050-7900683,out-call,1685,33.8879049773,35.5146863901
050-6311151,in-call,19,33.8766032391,35.5107021974
050-3415249,in-call,90,33.884637886,35.511779023
050-7466345,out-call,2456,31.4625229868,34.4219203198
050-6046211,out-call,1358,33.8795453383,35.5034404498
050-7575995,out-call,1241,33.8812007936,35.5119218913
