phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7807077,in-call,10,31.4409926215,34.3867914886
050-6971317,in-call,39,31.4537882301,34.4221334199
050-8051538,in-call,86,31.4116503454,34.3809061152
050-2069947,in-call,47,31.4224802269,34.3678878283
050-1314292,in-call,38,31.4116503454,34.3809061152
050-5291923,out-call,100,31.4575912357,34.418550535
050-6954650,out-call,26,31.4167115497,34.3878946572
050-1945206,out-call,1990,31.4152639358,34.3835245735
050-9957386,in-call,30,31.4486067519,34.406492464
050-7473951,in-call,126,31.4043060187,34.3702116625
050-7552178,in-call,3049,31.4321544616,34.3892648544
050-4133202,in-call,1452,31.4541380209,34.4034751527
