phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8729088,out-call,1859,31.4576989289,34.4174139182
050-3468180,in-call,873,31.3749834717,34.3286903181
050-9232402,out-call,91,31.4800723706,34.4445066969
050-9910477,in-call,1019,31.3984422637,34.3704032702
050-2413359,in-call,119,31.4225969149,34.3871037616
050-7877601,in-call,342,31.466155096,34.4293083936
050-8814397,out-call,82,31.4128067383,34.3657617229
050-1298024,out-call,85,31.4237401795,34.3903471742
050-1816680,out-call,23,31.4537559945,34.4135791173
050-8210941,in-call,165,31.4666371622,34.4195804476
050-1996387,in-call,749,31.4336738413,34.3893058545
050-6373193,out-call,440,31.4734522149,34.4317518266
050-8631513,in-call,119,31.4763139104,34.4367003559
050-8071542,in-call,74,31.3896168822,34.3428164417
050-6952146,out-call,1831,31.4467292189,34.4130210573
