phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4738810,out-call,29,31.4068782351,34.389212005
050-5571629,in-call,1567,31.4794041231,34.4276426404
050-3305999,in-call,62,31.4771153435,34.4365280537
050-7741609,in-call,58,31.4570424635,34.4168835499
050-7982768,in-call,66,31.4297435136,34.3836886367
050-9719948,out-call,14,31.4412649819,34.3935356228
050-5675844,in-call,57,31.4494075894,34.40963098
050-1667696,in-call,35,31.4652043768,34.4273605697
050-6543759,out-call,27,31.416865768,34.3609544677
050-4590244,in-call,164,31.4456222519,34.4250659403
050-9449814,in-call,24,31.4695905471,34.4266285293
050-9591282,in-call,63,31.471417303,34.419263203
050-5746267,in-call,3484,31.4224145964,34.3754983399
050-7389427,in-call,423,31.4235502878,34.3929326651
050-2432559,out-call,1052,31.4392375793,34.410003846
