phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2288013,out-call,57,31.4388904212,34.3882229737
050-2473379,in-call,3164,31.4491674384,34.3874104056
050-7185148,out-call,103,31.4383844718,34.4000458208
050-5995613,in-call,88,31.475710454,34.4241449031
050-8465964,in-call,70,31.4648057224,34.4409318958
050-3070275,out-call,2124,33.8829049939,35.5091604362
050-2697588,out-call,104,31.3872411938,34.3453027767
050-5421070,in-call,1536,31.4532164372,34.4226133086
050-1291507,in-call,33,33.8889230761,35.5126169487
050-3955888,out-call,2706,31.4708618725,34.431135406
