phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7733793,in-call,3599,31.4061136222,34.370268277
050-6555243,out-call,769,31.445328217,34.4172289809
050-7198317,out-call,2974,31.4397205136,34.392510379
050-7637367,out-call,907,31.4448028961,34.3865354733
050-3756736,out-call,104,31.3425150436,34.296931813
050-9639985,in-call,101,31.4281965923,34.3874116481
050-2165126,out-call,105,31.4424586199,34.3980192595
050-9835340,in-call,2695,31.4673109078,34.4298926544
050-9219597,in-call,49,31.473757428,34.4397482808
050-4125897,out-call,58,31.4504057766,34.3954130559
050-3589470,out-call,26,31.4179140842,34.3828974586
050-4576615,in-call,2727,31.4465967745,34.4069179843
050-4004749,out-call,78,31.413264292,34.3697872517
050-1474905,out-call,1539,31.4267165508,34.3701420654
