phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1865730,in-call,196,31.4879291516,34.4534660848
050-6494769,in-call,367,31.4474921815,34.4010609186
050-2547808,in-call,111,31.4435101813,34.3977508203
050-9127688,in-call,62,31.4514483207,34.4127582647
050-3444368,in-call,174,31.4673614447,34.4343189285
050-1301661,out-call,31,31.4167641369,34.3855017506
050-2931423,out-call,91,31.4710162319,34.4519835925
050-9888740,out-call,832,31.4442150354,34.3965033608
050-4561896,out-call,352,31.4698777833,34.4285647305
050-2774162,out-call,92,31.4576989289,34.4174139182
050-4131958,out-call,1546,31.454027533,34.4053504734
