phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4692698,in-call,104,31.4492405585,34.4262247732
050-2046122,out-call,191,31.4542364489,34.4139076258
050-7301686,in-call,79,31.4692746254,34.4270048981
050-2691822,in-call,2502,31.438822151,34.3979865766
050-9139767,in-call,1977,31.447934125,34.4195732097
050-7342742,in-call,1218,31.4403694451,34.4031512674
050-3790511,in-call,100,31.4210339362,34.3673202249
050-8173475,in-call,12,31.4069858347,34.3668786234
050-2114979,in-call,114,31.4319293525,34.3843816323
050-9073027,in-call,1144,31.461446875,34.4147349971
050-5620289,out-call,2013,31.4507233059,34.3959364741
050-9293493,in-call,57,31.4205370734,34.3856800739
050-9640678,in-call,78,31.384256725,34.3463837889
050-8939648,out-call,222,31.4280775846,34.3973884225
