phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1979755,in-call,2137,31.4605951286,34.422614471
050-8902269,in-call,107,31.4713199842,34.4389625382
050-2302265,in-call,19,31.4341961499,34.420917133
050-2037888,out-call,2431,33.8773094064,35.5013485957
050-7269585,in-call,44,31.3983726998,34.3600905107
050-9879995,in-call,54,31.4569110776,34.4271403561
050-9807008,in-call,1255,31.4207787378,34.3836278893
050-9796446,out-call,1488,33.8842689941,35.5119535437
050-3358688,out-call,964,31.4659612533,34.430133844
050-6305121,out-call,81,33.8836310101,35.5046485848
050-9294587,out-call,1570,31.4325739891,34.3874584944
