phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9145875,out-call,642,31.4431732625,34.4082325485
050-9806686,in-call,3105,31.4352303188,34.400436536
050-9003630,in-call,36,31.4400561152,34.3947063133
050-7543967,in-call,610,31.4323987329,34.3730240719
050-5506957,in-call,114,31.4386588765,34.3857056722
050-1064268,in-call,105,31.4695150327,34.4148981933
050-2568771,in-call,2566,31.4200547933,34.3827982319
050-4547948,in-call,2180,31.4667276071,34.3973895399
050-2378873,out-call,891,31.4784132586,34.4343641627
050-6699573,out-call,2335,31.4350196378,34.3882573147
050-5483778,in-call,2837,31.409556365,34.3719352051
050-3819797,out-call,1723,31.4787468367,34.4333516493
050-2108719,in-call,103,31.4176998438,34.3815225738
