phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9509008,out-call,3568,33.8816950029,35.5118395414
050-6556597,out-call,164,31.4334621282,34.3924523428
050-5756934,in-call,68,33.8760244357,35.5046140355
050-6998155,in-call,85,33.8882516067,35.5120096729
050-9797984,out-call,34,33.8880080946,35.5142934041
050-4968279,out-call,1898,31.470041333,34.4386715876
050-6344209,in-call,50,33.8815633841,35.5096079952
050-2918244,in-call,36,31.4536597639,34.3876518973
050-6180266,out-call,110,31.4537559945,34.4135791173
050-7728155,out-call,2904,33.8838702137,35.5020663829
050-5366093,in-call,22,33.8807284261,35.5039759852
050-4357377,out-call,12,31.4523748109,34.4137473187
050-5492941,in-call,572,33.8791730631,35.5050955801
050-1060806,in-call,1157,31.4455235267,34.4244824027
050-5459382,in-call,3526,31.42710571,34.3975112263
050-6093695,in-call,481,33.8773415218,35.509763764
