phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8550824,in-call,42,31.4497289798,34.4045938644
050-8558870,in-call,2275,31.4454240722,34.4014313241
050-5621662,in-call,2182,31.4291825138,34.3971792133
050-8339695,out-call,707,33.879898202,35.5088343681
050-1831939,in-call,109,31.4586867614,34.434022894
050-2675462,out-call,1118,31.4256358135,34.3958481952
050-2406170,out-call,2600,31.4024624349,34.367672935
050-1027532,in-call,3310,33.8835133003,35.5059668682
050-8780042,out-call,3416,31.4480550018,34.4088264448
050-8372237,in-call,2798,31.4439997379,34.4069594253
