phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6073705,in-call,37,31.4524844561,34.4034887747
050-7493140,in-call,3480,31.4661478343,34.4357117943
050-6203871,out-call,3444,31.4528667481,34.403808201
050-9606704,out-call,52,31.4296057051,34.381293922
050-2814658,out-call,23,31.4370159683,34.3886151314
050-4117632,out-call,2504,31.4652424268,34.4155637419
050-7365764,in-call,2662,31.4279156648,34.3901955153
050-1426462,in-call,2982,31.4785214056,34.4223158113
050-7686541,in-call,76,31.459248973,34.4264116355
050-1283342,out-call,1112,31.4315475118,34.4151855801
050-1888947,in-call,78,31.4631261051,34.4050992869
