phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6669451,in-call,90,31.4408529701,34.4150805676
050-9921798,in-call,10,31.4417814299,34.4096082206
050-6869807,out-call,461,31.428865927,34.3837848806
050-9076316,out-call,1411,31.4506669343,34.4194038767
050-7318867,in-call,551,31.4695478033,34.4179310457
050-1649467,out-call,104,31.4243806342,34.381779964
050-5016800,in-call,2062,31.4650437329,34.4324394564
050-6527858,out-call,2886,31.4589230412,34.4211605399
050-5565624,out-call,481,31.4443642487,34.3893557162
050-3462686,out-call,3503,31.4206165758,34.377109722
050-5577644,in-call,2614,31.4867827819,34.4369782785
050-1205549,out-call,1189,31.3866466559,34.3377978407
050-8202914,out-call,53,31.4348225395,34.3912979733
