phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4389840,in-call,61,31.4411680987,34.4065637747
050-5633321,in-call,3445,31.4463279226,34.4098314754
050-6491095,in-call,58,31.4601844093,34.4347441202
050-1304347,out-call,1355,31.4399243405,34.4227345945
050-7249338,out-call,3420,31.4649982646,34.4191701431
050-1714649,out-call,10,31.4535617103,34.4225455601
050-3943866,out-call,51,31.3814133634,34.34359784
050-3623771,out-call,1714,31.3634957429,34.3226437332
050-5193564,in-call,3075,31.4484040522,34.3909367734
050-9977126,out-call,1481,31.3959921222,34.3562968248
050-9058562,in-call,80,31.4205668303,34.3710917877
050-1994611,out-call,1726,31.4461249291,34.4141422861
