phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5462078,out-call,304,31.4451095865,34.4067325346
050-6439644,out-call,2127,31.4554747047,34.4082239462
050-7368729,out-call,1313,31.4467096562,34.4107886283
050-2858788,in-call,93,31.407790001,34.3813450517
050-5134961,out-call,1447,31.4494114378,34.3996384531
050-7338959,out-call,15,31.4536597639,34.3876518973
050-2118579,in-call,3446,31.424042319,34.3853056905
050-7005621,in-call,1316,31.4533288281,34.4021033191
050-3236011,out-call,113,31.4221227588,34.3878427824
050-8279914,in-call,223,31.4414550555,34.3868893909
