phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5344568,out-call,3041,31.476539579,34.4655183079
050-8521310,in-call,141,31.4917243496,34.4634960429
050-9578404,in-call,1233,31.4368093285,34.3969589546
050-9906728,out-call,2431,31.4281876331,34.403431634
050-3519513,in-call,63,31.4283391718,34.3835671256
050-2964937,out-call,28,31.4640593376,34.4221472444
050-5739059,in-call,57,31.4123576546,34.3778972241
050-1414890,out-call,106,31.4328667185,34.4082833473
050-1966251,out-call,39,31.4327772747,34.3819456079
050-1807748,in-call,80,31.4056821214,34.3701532586
050-6383068,out-call,3568,31.4496825104,34.4038257532
050-4876284,in-call,1764,31.4358643701,34.3883517759
050-1497793,in-call,1742,31.4293471228,34.3861266816
050-9952427,out-call,75,31.42267118,34.3898886142
