phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4464889,in-call,1794,31.4579505956,34.4304662189
050-7936586,in-call,21,33.8767468312,35.5037565306
050-6540414,in-call,109,31.4425575391,34.4035336889
050-9751930,in-call,332,31.4056321014,34.3699219002
050-2803545,in-call,131,31.4763176269,34.4438095981
050-1417262,in-call,66,31.4361431144,34.4062313137
050-6787720,out-call,83,31.4685785521,34.4291659682
050-9440910,in-call,68,33.8829422924,35.5079586376
050-6249459,out-call,1478,31.4210710933,34.3985501708
050-6088466,in-call,2389,31.4496930896,34.4085988323
050-7412176,in-call,2721,33.8826737451,35.5063984953
050-8359809,out-call,22,31.422458934,34.395361744
