phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8073351,in-call,778,31.4124361372,34.377309614
050-1426144,out-call,2765,31.433495591,34.4003410207
050-1836328,out-call,12,31.4505799665,34.4164888191
050-6345414,out-call,1038,31.4611169985,34.4219156234
050-1635837,in-call,3446,31.4339423723,34.3839456855
050-2453984,in-call,54,31.4263741188,34.4198840947
050-1793158,out-call,1934,31.4710883744,34.4398873493
050-4214388,out-call,1864,31.4025799185,34.3472706633
050-4548758,out-call,680,31.4299282388,34.3756737664
050-2700655,out-call,50,31.3959791114,34.3428171805
050-7734168,out-call,1174,31.4225201569,34.3900992565
050-9034708,out-call,1718,31.4322795076,34.3989467338
050-5602410,in-call,88,31.4004758081,34.3822465236
050-4466307,in-call,90,31.4386120399,34.3872832778
