phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4444067,in-call,48,31.4398265779,34.4091883522
050-9627452,out-call,1584,31.4879291516,34.4534660848
050-4056108,in-call,728,31.4512989935,34.416649679
050-7460344,in-call,49,31.426565578,34.3823247089
050-5377199,in-call,2571,31.4648070632,34.4075992337
050-7266900,in-call,87,31.4475037011,34.3989745863
050-5417877,in-call,39,31.43609573,34.3922199763
050-8419304,in-call,2340,31.4484041028,34.4036473728
050-2512562,out-call,22,31.4128067383,34.3657617229
050-8350084,in-call,62,31.4296057051,34.381293922
050-4961222,in-call,116,31.3955182412,34.3628378227
050-8522391,in-call,374,31.409300661,34.3927836292
