phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1653827,out-call,1156,31.4650614485,34.4226578651
050-3730824,out-call,1782,31.3983441369,34.3496452396
050-2774469,in-call,3324,31.444552898,34.3913045356
050-2783038,in-call,105,31.500551506,34.4352247423
050-5875514,in-call,77,31.462544631,34.4465874317
050-1388888,in-call,88,31.4485690073,34.4142155502
050-2591007,out-call,1132,31.4157513045,34.3727046366
050-5167839,out-call,1021,31.467123119,34.431897416
050-3725286,out-call,578,31.447827605,34.4210342006
050-2051578,out-call,2875,31.4794465768,34.4557834567
050-8456819,in-call,113,31.4428593257,34.4124923035
