phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1527819,in-call,2445,31.4877233035,34.4454120756
050-2438584,out-call,99,31.4664152452,34.4383676069
050-6518946,out-call,3405,31.4569608526,34.4217698353
050-2369422,in-call,108,31.4395386713,34.4114137344
050-8003489,in-call,66,31.4122669935,34.3674592315
050-2222135,in-call,1457,31.406901289,34.3711829403
050-4895718,in-call,94,31.4653674294,34.4271635729
050-3585643,out-call,925,31.3920320863,34.3387423562
050-4340905,in-call,1868,31.4210405057,34.367681596
050-6120974,in-call,25,31.4734640771,34.420675162
050-4946079,out-call,2651,31.4726725146,34.4266450864
050-1071066,out-call,311,31.4516121205,34.3934617056
050-1606819,out-call,1505,31.4568618145,34.4171850654
050-3249032,out-call,407,31.4783121554,34.4431687838
