phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8073265,out-call,2782,31.3974454072,34.3629506732
050-5322774,out-call,2587,31.427237764,34.3952928498
050-4057815,in-call,2333,31.4511686152,34.4118038389
050-9834664,out-call,281,31.4548159486,34.4173799945
050-2111114,out-call,108,31.4583619946,34.4147014001
050-1720120,out-call,115,31.44506215,34.3885519283
050-7551719,in-call,3519,31.4402798259,34.4181465084
050-3238102,out-call,113,31.422537047,34.3627287909
050-5181261,out-call,3179,31.4642372814,34.4322704607
050-6710458,out-call,95,31.4868214273,34.4455014181
050-9103827,out-call,97,31.4262655459,34.3940935209
