phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5933787,in-call,65,31.477628419,34.4472212832
050-9585967,out-call,62,31.4171555212,34.3665754921
050-5471684,out-call,1835,31.4587774442,34.4239368312
050-6822870,out-call,2283,31.4097381332,34.3690743092
050-8963680,out-call,48,31.4560168339,34.4033775808
050-7390172,out-call,2257,31.4569666754,34.4185882134
050-4018765,in-call,2994,31.407756082,34.3773791294
050-7412425,in-call,578,31.4136725211,34.3974603261
050-2975861,out-call,53,31.3851320866,34.350302551
050-9469882,out-call,37,31.3844216514,34.3437587926
050-6747242,out-call,56,31.503601523,34.4932266747
050-4480102,in-call,73,31.4513716227,34.414251166
050-5552686,out-call,465,31.4381916104,34.3853631677
