phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5531985,out-call,802,31.4430526309,34.4103971911
050-6929339,in-call,2996,31.4483097131,34.4223316496
050-5135427,in-call,62,31.3983441369,34.3496452396
050-7208992,in-call,56,31.4718067101,34.4185997054
050-3820631,out-call,99,31.4737279309,34.4303346054
050-8437425,in-call,107,31.4149550432,34.3693477306
050-9219862,out-call,2968,31.4608583819,34.4287748949
050-6448660,out-call,16,31.4821516606,34.4281325144
050-5216483,in-call,2115,31.4094925427,34.3790858731
050-4825665,in-call,2900,31.4395626361,34.3906748215
050-2148112,in-call,11,31.3868115122,34.3397560616
050-2206358,out-call,782,31.4548159486,34.4173799945
050-3026460,out-call,2909,31.4737886188,34.4275028564
