phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4816965,in-call,101,31.4807909366,34.4316673012
050-9306144,in-call,103,31.4901379319,34.4469718655
050-1851141,out-call,1092,31.4369144042,34.4128667337
050-5143221,in-call,120,31.4084774927,34.3456713983
050-7625781,in-call,62,31.4608003056,34.4244494818
050-8764903,in-call,3031,31.4090969483,34.37537811
050-6744941,out-call,1781,31.4534819976,34.4085029225
050-3044149,out-call,31,31.4645698438,34.4187666206
050-4533779,in-call,70,31.4591242449,34.4269723722
050-2536418,in-call,110,31.4637818465,34.4203391953
050-2828687,in-call,116,31.4395414197,34.3889116652
050-8625697,out-call,685,31.4582029576,34.4157823602
