phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9085005,in-call,76,31.4702584108,34.4235363802
050-9688829,in-call,93,31.393896672,34.3433338668
050-7644239,in-call,114,31.4508306269,34.4405132131
050-2135694,out-call,78,31.4771994024,34.4481556204
050-8576140,out-call,65,31.4835846075,34.4526170305
050-9481521,in-call,107,31.4547649692,34.3952528995
050-6212088,in-call,2674,31.4540134056,34.4122865684
050-9891664,in-call,354,31.4435155705,34.3881350064
050-4848721,in-call,3339,31.4578945552,34.4212961438
050-7539830,out-call,838,31.4485690073,34.4142155502
050-6820000,in-call,78,31.4565631425,34.4205545606
050-6796560,out-call,100,31.3913883466,34.3433630642
