phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1474708,in-call,36,31.4595607368,34.4140715852
050-8979850,out-call,95,31.4566456907,34.3983165395
050-3833452,in-call,12,31.4693842949,34.4263893178
050-7821520,in-call,2475,31.4617046684,34.4228434856
050-4516992,out-call,47,31.4413528321,34.424101096
050-1395361,in-call,2042,31.47391743,34.4358760403
050-9664351,in-call,1132,31.4570486964,34.4316208801
050-7862499,in-call,23,31.4491812718,34.4141618964
050-4082488,in-call,101,31.4649859133,34.4306656821
050-4770735,in-call,35,31.4527390969,34.4097668952
