phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6881560,out-call,3189,31.5009499318,34.4634112981
050-1265882,out-call,1183,31.435476793,34.3866330794
050-6167672,in-call,419,31.4632496542,34.4218347303
050-5730014,in-call,118,31.457420609,34.4181190701
050-1151982,in-call,116,31.458393114,34.4070043884
050-2770349,out-call,32,31.4531344006,34.4098699149
050-1910562,out-call,57,31.469516677,34.4357324876
050-1677176,in-call,1707,31.4421308838,34.3859444957
050-2071746,out-call,82,31.4177409328,34.3606673554
050-5675850,out-call,445,31.4481594386,34.3889673265
050-3326557,out-call,101,31.4559064218,34.4049054926
