phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3595492,in-call,1403,31.3849986303,34.335396071
050-7507545,out-call,33,31.4541094976,34.4108321679
050-8578989,out-call,10,31.4675068147,34.4143397995
050-8594624,out-call,59,31.415421903,34.3686692442
050-3024953,in-call,2720,31.4615992462,34.4518776226
050-1924220,out-call,46,31.4100600797,34.3674265126
050-7715688,out-call,56,31.4785766596,34.4390004834
050-1794279,in-call,54,31.4510856116,34.4097016143
050-6568445,out-call,16,31.4593869583,34.4167808802
050-9819540,in-call,1092,31.4412007568,34.391255202
