phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2294848,in-call,786,31.437978779,34.4137717434
050-9487217,out-call,77,31.4569666754,34.4185882134
050-2310849,in-call,114,31.4525822538,34.4147262055
050-2734399,in-call,115,31.4098649553,34.3770623682
050-3694897,in-call,51,31.4796846252,34.4399917651
050-2838111,out-call,94,31.4706016982,34.4206452521
050-9446830,out-call,13,31.4593341744,34.4039241958
050-7656873,in-call,117,31.4736061795,34.4273601016
050-4491361,in-call,11,31.4853047668,34.4469806131
050-8229710,out-call,95,31.4484030138,34.4206621737
